X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
Mar 2023,240.00,240.00,240.00,240.00,240.25,-4.75,"1,527",-3,17,2022-07-01
Jun 2023,220.00,220.00,220.00,220.00,222.71,-1.29,"1,280",-4,17,2022-07-01
Sep 2023,200.25,200.25,198.50,198.50,198.84,-1.16,"1,207",-9,57,2022-07-01
Dec 2023,140.00,140.00,138.00,139.50,139.31,-0.69,975,-2,27,2022-07-01
Mar 2024,-,-,-,-,140.50,-,825,6,28,2022-07-01
Jun 2024,140.25,141.50,140.25,140.50,140.75,-,658,35,62,2022-07-01
Sep 2024,-,-,-,-,141.00,-,324,4,24,2022-07-01
Dec 2024,114.00,114.00,114.00,114.00,114.00,1.00,402,5,28,2022-07-01
Mar 2025,-,-,-,-,120.75,-0.82,40,-,-,2022-07-01
Jun 2025,125.50,125.50,125.50,125.50,125.00,-0.87,28,2,2,2022-07-01
Sep 2025,-,-,-,-,132.64,1.75,21,-,-,2022-07-01
Dec 2025,-,-,-,-,128.46,1.70,21,-,-,2022-07-01
Mar 2026,-,-,-,-,115.07,-,-,-,-,2022-07-01
Jun 2026,-,-,-,-,115.07,-,-,-,-,2022-07-01
,,,,,,,,,,2022-07-01
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"12,201",13,294,2022-07-01
,,,,,,,,,,2022-07-01
,,,,,,,,,,2022-07-01
BQ - ASX Electricity Base Load Quarterly Futures QLD (A$ per megawatt hour),BQ - ASX Electricity Base Load Quarterly Futures QLD (A$ per megawatt hour),BQ - ASX Electricity Base Load Quarterly Futures QLD (A$ per megawatt hour),BQ - ASX Electricity Base Load Quarterly Futures QLD (A$ per megawatt hour),BQ - ASX Electricity Base Load Quarterly Futures QLD (A$ per megawatt hour),BQ - ASX Electricity Base Load Quarterly Futures QLD (A$ per megawatt hour),BQ - ASX Electricity Base Load Quarterly Futures QLD (A$ per megawatt hour),BQ - ASX Electricity Base Load Quarterly Futures QLD (A$ per megawatt hour),BQ - ASX Electricity Base Load Quarterly Futures QLD (A$ per megawatt hour),BQ - ASX Electricity Base Load Quarterly Futures QLD (A$ per megawatt hour),2022-07-01
,,,,,,,,,,2022-07-01
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-01
,,,,,,,,,,2022-07-01
Jun 2022,-,-,-,-,322.70,-0.30,"3,341",-,-,2022-07-01
Sep 2022,325.00,325.00,320.00,323.00,323.00,-7.00,"4,358",-21,30,2022-07-01
Dec 2022,259.00,259.00,250.00,250.00,250.00,-6.00,"4,524",2,9,2022-07-01
Mar 2023,247.00,247.00,247.00,247.00,247.00,-7.95,"4,596",4,4,2022-07-01
Jun 2023,200.00,200.00,198.50,200.00,200.00,-3.00,"4,252",1,4,2022-07-01
Sep 2023,185.50,185.50,184.50,184.50,184.40,-1.84,"3,309",3,3,2022-07-01
Dec 2023,-,-,-,-,136.50,-,"3,291",-,-,2022-07-01
Mar 2024,140.01,140.01,140.00,140.00,140.00,-1.11,"2,654",5,33,2022-07-01
Jun 2024,-,-,-,-,102.21,0.80,"2,580",-11,30,2022-07-01
Sep 2024,-,-,-,-,97.92,0.76,"1,614",-12,30,2022-07-01
Dec 2024,-,-,-,-,97.92,0.77,"1,608",-10,30,2022-07-01
Mar 2025,-,-,-,-,101.32,0.32,563,1,1,2022-07-01
Jun 2025,-,-,-,-,73.78,0.24,558,-,1,2022-07-01
Sep 2025,-,-,-,-,83.41,0.27,251,-,1,2022-07-01
Dec 2025,-,-,-,-,80.73,0.25,252,-,1,2022-07-01
Mar 2026,-,-,-,-,86.00,-,2,-,-,2022-07-01
Jun 2026,-,-,-,-,76.12,-,-,-,-,2022-07-01
,,,,,,,,,,2022-07-01
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"37,753",-38,177,2022-07-01
,,,,,,,,,,2022-07-01
,,,,,,,,,,2022-07-01
